邁	迈
勵	励
癘	疠
蠆	虿
躉	趸
礪	砺
糲	粝
蠣	蛎
僞	伪
潙	沩
嬀	妫
諱	讳
偉	伟
闈	闱
違	违
葦	苇
韌	韧
幃	帏
圍	围
緯	纬
煒	炜
禕	祎
瑋	玮
韍	韨
潿	涠
韓	韩
韞	韫
韙	韪
韜	韬
鄔	邬
塢	坞
嗚	呜
鎢	钨
憮	怃
廡	庑
撫	抚
蕪	芜
嘸	呒
嫵	妩
讞	谳
瀉	泻
潯	浔
蕁	荨
撏	挦
鱘	鲟
啞	唖
惡	悪
儼	俨
釅	酽
懨	恹
厴	厣
靨	靥
饜	餍
魘	魇
黶	黡
僥	侥
澆	浇
撓	挠
蕘	荛
嶢	峣
嘵	哓
嬈	娆
繞	绕
饒	饶
燒	烧
橈	桡
曉	晓
磽	硗
鐃	铙
翹	翘
蟯	蛲
蹺	跷
鄴	邺
議	议
儀	仪
蟻	蚁
囈	呓
蕕	莸
嶼	屿
歟	欤
蕓	芸
曇	昙
靉	叆
靆	叇
墊	垫
摯	挚
贄	贽
蟄	蛰
縶	絷
湯	汤
揚	扬
場	场
暘	旸
餳	饧
煬	炀
楊	杨
腸	肠
瘍	疡
碭	砀
暢	畅
鍚	钖
殤	殇
蕩	荡
燙	烫
觴	觞
堅	坚
賢	贤
腎	肾
竪	竖
慳	悭
緊	紧
鏗	铿
鰹	鲣
勞	劳
煢	茕
塋	茔
熒	荧
榮	荣
滎	荥
犖	荦
澇	涝
嶗	崂
瑩	莹
撈	捞
嘮	唠
螢	萤
營	营
縈	萦
癆	痨
嶸	嵘
鐒	铹
耮	耢
蠑	蝾
覽	览
攬	揽
纜	缆
欖	榄
鑒	鉴
幟	帜
織	织
熾	炽
職	职
識	䛊
嶨	峃
學	学
嚳	喾
鱟	鲎
黌	黉
覺	覚
攪	撹
譯	译
澤	泽
懌	怿
擇	择
嶧	峄
繹	绎
鐸	铎
蘀	萚
釋	释
籜	箨
勁	劲
剄	刭
陘	陉
涇	泾
莖	茎
徑	径
經	经
烴	烃
輕	轻
氫	氢
脛	胫
痙	痉
羥	羟
頸	颈
巰	巯
變	变
彎	弯
孿	孪
巒	峦
孌	娈
戀	恋
欒	栾
攣	挛
灣	湾
蠻	蛮
臠	脔
灤	滦
鑾	銮
靜	静
猙	狰
掙	挣
睜	睁
箏	筝
凈	净
娛	娱
俁	俣
悞	悮
換	换
渙	涣
喚	唤
繩	䋲
祿	禄
綠	緑
慍	愠
榲	媼
熅	煴
榅	媪
薀	蕰
鰮	鰛
縕	緼
搖	摇
瑤	瑶
謠	謡
侶	侣
悅	悦
脫	脱
稅	税
說	説
滾	滚
蔉	蓘
𥕦	磙
顏	顔
吶	呐
